match_id,ally_champs,enemy_champs
NA1_5311257006,"['Yone', 'Talon', 'Syndra', 'Jhin', 'TwistedFate']","['Riven', 'LeeSin', 'Sylas', 'Seraphine', 'Janna']"
NA1_5311227228,"['Gwen', 'LeeSin', 'Akali', 'MissFortune', 'Nautilus']","['Sett', 'Rengar', 'TwistedFate', 'Tristana', 'Yuumi']"
NA1_5311203254,"['Volibear', 'Udyr', 'TwistedFate', 'Ezreal', 'Soraka']","['Gwen', 'Zed', 'Yone', 'Lux', 'Ashe']"
NA1_5311170342,"['Kindred', 'Zac', 'Galio', 'Varus', 'Elise']","['Ambessa', 'Viego', 'TwistedFate', 'Ekko', 'Nautilus']"
NA1_5311141585,"['Malphite', 'MasterYi', 'TwistedFate', 'Tristana', 'Leona']","['Camille', 'Viego', 'Zed', 'Malzahar', 'Renata']"
NA1_5311116625,"['Renekton', 'Shaco', 'Taliyah', 'Jhin', 'Thresh']","['Camille', 'Hecarim', 'TwistedFate', 'Ezreal', 'Nami']"
NA1_5311093043,"['Sylas', 'LeeSin', 'Kayle', 'Lucian', 'JarvanIV']","['Vladimir', 'Hecarim', 'TwistedFate', 'Senna', 'Alistar']"
NA1_5311069610,"['Irelia', 'Yorick', 'TwistedFate', 'Vayne', 'Milio']","['Chogath', 'Ekko', 'Yasuo', 'MissFortune', 'Nidalee']"
NA1_5311049753,"['DrMundo', 'Elise', 'Nunu', 'Jhin', 'Pyke']","['Renekton', 'Sejuani', 'Vladimir', 'Akshan', 'Morgana']"
NA1_5311023309,"['Singed', 'Nocturne', 'Viktor', 'Jhin', 'Brand']","['Renekton', 'DrMundo', 'Xerath', 'Sivir', 'Alistar']"
