match_id,ally_champs,enemy_champs,win
NA1_5185567216,"['Gnar', 'Sylas', 'Yone', 'Swain', 'Pyke']","['Irelia', 'Morgana', 'AurelionSol', 'Ezreal', 'Karma']",0.0
NA1_5180652078,"['Tryndamere', 'Sylas', 'Gragas', 'Jinx', 'Lulu']","['Olaf', 'Graves', 'Talon', 'Ekko', 'Zoe']",1.0
NA1_5180485659,"['Brand', 'Vi', 'Katarina', 'Ashe', 'Janna']","['Gwen', 'XinZhao', 'Yone', 'Jhin', 'Karma']",1.0
NA1_5179443546,"['Rengar', 'Warwick', 'Aurora', 'Kalista', 'Braum']","['Nocturne', 'Jayce', 'AurelionSol', 'Jinx', 'TahmKench']",0.0
NA1_5176501395,"['DrMundo', 'Sylas', 'Chogath', 'Thresh', 'Caitlyn']","['Shen', 'Viego', 'Naafiri', 'KogMaw', 'Janna']",0.0
NA1_5176336691,"['Kennen', 'Zyra', 'Qiyana', 'Kaisa', 'Poppy']","['Fiora', 'Rammus', 'Ambessa', 'Aphelios', 'Elise']",0.0
NA1_5176306794,"['Malphite', 'Sylas', 'Yone', 'Kalista', 'Maokai']","['Jayce', 'XinZhao', 'Ahri', 'Yasuo', 'Poppy']",1.0
NA1_5176282883,"['Jayce', 'Sylas', 'Yone', 'Jhin', 'Nautilus']","['Jax', 'Rengar', 'Annie', 'Ashe', 'Braum']",1.0
NA1_5176234308,"['Vladimir', 'Karthus', 'Viego', 'Caitlyn', 'Milio']","['Gnar', 'Graves', 'Zac', 'Jhin', 'Sona']",1.0
NA1_5171790939,"['Yasuo', 'Illaoi', 'TwistedFate', 'Caitlyn', 'KogMaw']","['Yone', 'Nautilus', 'Warwick', 'Seraphine', 'Jinx']",0.0
NA1_5171317341,"['MonkeyKing', 'Nidalee', 'Yone', 'Draven', 'Leona']","['Ambessa', 'Khazix', 'Azir', 'Hwei', 'Rakan']",1.0
NA1_5171295324,"['Sylas', 'Graves', 'Galio', 'Caitlyn', 'Yuumi']","['Jax', 'Diana', 'Veigar', 'Yasuo', 'Rell']",0.0
NA1_5170507177,"['Zac', 'Nasus', 'Sylas', 'Caitlyn', 'Leona']","['Teemo', 'Viego', 'Corki', 'Seraphine', 'Nami']",0.0
NA1_5170477756,"['Sylas', 'Nidalee', 'Jayce', 'Smolder', 'Alistar']","['Swain', 'MonkeyKing', 'Zyra', 'Draven', 'Nautilus']",1.0
