match_id,ally_champs,enemy_champs,win
NA1_5211951036,"['Taliyah', 'Teemo', 'KogMaw', 'MissFortune', 'Riven']","['Varus', 'Irelia', 'Smolder', 'Poppy', 'Khazix']",0.0
NA1_5211871808,"['KogMaw', 'Riven', 'Sivir', 'Garen', 'MissFortune']","['Caitlyn', 'Tristana', 'Poppy', 'Zyra', 'Volibear']",0.0
NA1_5211851106,"['KogMaw', 'Riven', 'Pantheon', 'Garen', 'MissFortune']","['Tristana', 'Rumble', 'Yorick', 'Zyra', 'Lillia']",0.0
NA1_5211841978,"['KogMaw', 'MissFortune', 'Jinx', 'Riven', 'Taliyah']","['Varus', 'Malphite', 'Rumble', 'Blitzcrank', 'Zyra']",0.0
NA1_5211830735,"['KogMaw', 'MissFortune', 'Jinx', 'Garen', 'Riven']","['Varus', 'Rumble', 'Smolder', 'Braum', 'Volibear']",0.0
NA1_5211774784,"['Jinx', 'MissFortune', 'Riven', 'Xerath', 'KogMaw']","['Sivir', 'Ekko', 'Cassiopeia', 'Zyra', 'Lillia']",0.0
NA1_5211762554,"['Smolder', 'Jinx', 'Riven', 'MissFortune', 'KogMaw']","['MissFortune', 'Ekko', 'Kennen', 'Galio', 'Hecarim']",0.0
NA1_5211756812,"['MissFortune', 'Riven', 'Brand', 'Darius', 'Malphite']","['Veigar', 'Ziggs', 'Vayne', 'Zyra', 'Sejuani']",1.0
NA1_5211744454,"['MasterYi', 'Teemo', 'Riven', 'MissFortune', 'KogMaw']","['Varus', 'Lux', 'Kennen', 'Ziggs', 'Zyra']",1.0
NA1_5211733707,"['KogMaw', 'MissFortune', 'Ashe', 'Tristana', 'Riven']","['Veigar', 'Galio', 'Cassiopeia', 'Zyra', 'Nocturne']",1.0
NA1_5211729923,"['Xerath', 'Vex', 'Jinx', 'Riven', 'KogMaw']","['Varus', 'Galio', 'Rumble', 'Zyra', 'Vi']",0.0
NA1_5211659571,"['Jinx', 'Riven', 'Garen', 'MissFortune', 'KogMaw']","['Varus', 'Tristana', 'Garen', 'Veigar', 'Warwick']",0.0
NA1_5211638915,"['KogMaw', 'Jinx', 'Riven', 'MissFortune', 'Garen']","['Ziggs', 'Lux', 'Nasus', 'Annie', 'Ekko']",0.0
NA1_5211590396,"['Lucian', 'Riven', 'Garen', 'KogMaw', 'MissFortune']","['Caitlyn', 'Malphite', 'Darius', 'Veigar', 'Zyra']",1.0
NA1_5211580161,"['Jinx', 'Riven', 'MissFortune', 'KogMaw', 'Garen']","['Varus', 'Galio', 'Kennen', 'Veigar', 'Zyra']",0.0
NA1_5211503354,"['MissFortune', 'Jinx', 'KogMaw', 'Riven', 'Lucian']","['Ashe', 'Galio', 'Yorick', 'Ziggs', 'Zyra']",0.0
NA1_5211485611,"['MissFortune', 'Jinx', 'Lucian', 'Riven', 'KogMaw']","['Tristana', 'Rumble', 'Kennen', 'Leona', 'Zyra']",0.0
NA1_5211459271,"['Ashe', 'Syndra', 'Riven', 'KogMaw', 'MissFortune']","['Smolder', 'Chogath', 'Garen', 'Zyra', 'Lillia']",1.0
NA1_5211440646,"['MissFortune', 'Lucian', 'Jinx', 'Riven', 'KogMaw']","['MissFortune', 'Tristana', 'Smolder', 'Sona', 'Rumble']",0.0
NA1_5210910483,"['KogMaw', 'Jinx', 'Riven', 'MissFortune', 'Ashe']","['Sivir', 'Lissandra', 'Kennen', 'Renata', 'Lillia']",0.0
NA1_5210905651,"['Riven', 'MissFortune', 'Lucian', 'KogMaw', 'Jinx']","['Varus', 'Kassadin', 'Smolder', 'Soraka', 'Zyra']",0.0
NA1_5210898161,"['Sivir', 'Garen', 'Riven', 'KogMaw', 'MissFortune']","['Sivir', 'Chogath', 'Rumble', 'Poppy', 'Sejuani']",0.0
NA1_5210860991,"['Sion', 'MissFortune', 'Varus', 'Katarina', 'Smolder']","['Ezreal', 'Chogath', 'Yorick', 'Galio', 'Rumble']",0.0
NA1_5210846711,"['Sion', 'Varus', 'Katarina', 'Smolder', 'MissFortune']","['Ezreal', 'Tristana', 'Rumble', 'Annie', 'Zyra']",0.0
