match_id,ally_champs,enemy_champs,win
NA1_5163600177,"['Graves', 'Hwei', 'Kennen', 'Aphelios', 'TahmKench']","['Poppy', 'Naafiri', 'Illaoi', 'Xayah', 'Ekko']",1.0
NA1_5160296390,"['Ambessa', 'Ivern', 'Akali', 'KogMaw', 'Blitzcrank']","['Lulu', 'Kindred', 'Yasuo', 'Jhin', 'Nautilus']",1.0
NA1_5160265488,"['Renekton', 'Ivern', 'Jayce', 'Syndra', 'Leona']","['Gragas', 'Diana', 'Yasuo', 'Xayah', 'Rakan']",0.0
NA1_5160220589,"['Urgot', 'Ivern', 'Ambessa', 'Jhin', 'Veigar']","['Brand', 'Kayn', 'Naafiri', 'Yasuo', 'Rell']",0.0
NA1_5160158943,"['Aatrox', 'Khazix', 'Jayce', 'Hwei', 'Bard']","['Udyr', 'Nidalee', 'Yasuo', 'Smolder', 'Nami']",0.0
NA1_5160119737,"['Ambessa', 'Shaco', 'Syndra', 'Xayah', 'Bard']","['Gragas', 'Khazix', 'Yasuo', 'Draven', 'Thresh']",1.0
NA1_5160063745,"['Jax', 'JarvanIV', 'Syndra', 'Yasuo', 'Nautilus']","['KSante', 'Karthus', 'Gwen', 'Corki', 'Leona']",0.0
NA1_5160035015,"['Malphite', 'Khazix', 'Pantheon', 'Hwei', 'Alistar']","['Riven', 'Nunu', 'Yasuo', 'Draven', 'Janna']",0.0
NA1_5159967519,"['Ambessa', 'Khazix', 'TwistedFate', 'Corki', 'Blitzcrank']","['Jax', 'MonkeyKing', 'Galio', 'Lux', 'Zilean']",0.0
NA1_5159914605,"['Ambessa', 'LeeSin', 'Anivia', 'Zilean', 'Lulu']","['Renekton', 'Nunu', 'Ashe', 'Zeri', 'Zyra']",0.0
NA1_5159881759,"['Shen', 'Viego', 'Sylas', 'Ashe', 'Soraka']","['DrMundo', 'Nunu', 'Corki', 'Varus', 'Zilean']",1.0
NA1_5159837072,"['Shen', 'Ekko', 'Sylas', 'Corki', 'Rell']","['Gragas', 'Nunu', 'Tristana', 'Ezreal', 'Poppy']",0.0
NA1_5158312948,"['Pantheon', 'Qiyana', 'Sylas', 'Corki', 'Soraka']","['Nasus', 'Viego', 'Azir', 'Ezreal', 'Karma']",0.0
NA1_5158261414,"['Darius', 'Zac', 'Diana', 'Corki', 'Seraphine']","['Pantheon', 'Viego', 'Katarina', 'Lucian', 'Pyke']",1.0
NA1_5184975635,"['Ryze', 'Qiyana', 'Riven', 'Syndra', 'Nautilus']","['Renekton', 'Graves', 'Swain', 'Viktor', 'Alistar']",0.0
NA1_5184955173,"['Kennen', 'Gragas', 'Blitzcrank', 'Varus', 'Jayce']","['Malphite', 'Riven', 'Rammus', 'Caitlyn', 'Morgana']",1.0
